peer,KPI,sort,Product,Hierarchy 1,average,Value,Rank,last,group,Code
Dashboarding-focused products,Implementer support,9,Sisense,Customer satisfaction,6.973816811,6.621689111,11,,2,
Dashboarding-focused products,Implementer support,9,Tableau,Customer satisfaction,6.973816811,5.932858105,16,,2,
Dashboarding-focused products,Implementer support,9,TARGIT,Customer satisfaction,6.973816811,8.158312124,4,,2,
Dashboarding-focused products,Implementer support,9,TIBCO Spotfire,Customer satisfaction,6.973816811,4.124676715,19,,2,
Dashboarding-focused products,Implementer support,9,Zoho Reports,Customer satisfaction,6.973816811,5.529246187,17,,2,
Dashboarding-focused products,Product satisfaction,10,BOARD,Customer satisfaction,5.69871926,4.76096111,12,,2,
Dashboarding-focused products,Product satisfaction,10,Chartio,Customer satisfaction,5.69871926,2.672829895,18,,2,
Dashboarding-focused products,Product satisfaction,10,Cubeware,Customer satisfaction,5.69871926,3.852861035,16,,2,
Dashboarding-focused products,Product satisfaction,10,CXO-Cockpit,Customer satisfaction,5.69871926,9.077929155,3,,2,
Dashboarding-focused products,Product satisfaction,10,DigDash,Customer satisfaction,5.69871926,3.948910082,14,,2,1
Dashboarding-focused products,Product satisfaction,10,Dimensional Insight,Customer satisfaction,5.69871926,8.616893733,4,,2,
Dashboarding-focused products,Product satisfaction,10,Domo,Customer satisfaction,5.69871926,3.948910082,14,,2,
Dashboarding-focused products,Product satisfaction,10,Dundas,Customer satisfaction,5.69871926,9.538964578,1,,2,
Dashboarding-focused products,Product satisfaction,10,Entrinsik,Customer satisfaction,5.69871926,5.554301285,8,,2,
Dashboarding-focused products,Product satisfaction,10,Longview Analytics,Customer satisfaction,5.69871926,6.695912807,7,,2,
Dashboarding-focused products,Product satisfaction,10,MS Power BI,Customer satisfaction,5.69871926,5.417757693,9,,2,
Dashboarding-focused products,Product satisfaction,10,Pyramid Analytics,Customer satisfaction,5.69871926,7.464305177,6,,2,
Dashboarding-focused products,Product satisfaction,10,QlikView,Customer satisfaction,5.69871926,5.062067976,11,,2,
Dashboarding-focused products,Product satisfaction,10,SAP BO Design St.,Customer satisfaction,5.69871926,1.577237476,19,,2,
Dashboarding-focused products,Product satisfaction,10,Sisense,Customer satisfaction,5.69871926,4.508254528,13,,2,
Dashboarding-focused products,Product satisfaction,10,Tableau,Customer satisfaction,5.69871926,3.691094221,17,,2,
Dashboarding-focused products,Product satisfaction,10,TARGIT,Customer satisfaction,5.69871926,9.308446866,2,,2,
